Line,Route,Direction,Municipality,On Street,At Street,Time Point - Description,Stop ID/Stop Num
1,1,Inbound,IRVINGTON TWP,GROVE ST,17TH AVE,IRVINGTON TWP - GROVE ST at 17TH AVE,17826
1,1,Inbound,IRVINGTON TWP,GROVE ST,16TH AVE,IRVINGTON TWP - GROVE ST at 16TH AVE,17827
1,1,Outbound,IRVINGTON TWP,GROVE ST,ARVERNE TERRACE,IRVINGTON TWP - GROVE ST at ARVERNE TERRACE,17833
1,1,Outbound,IRVINGTON TWP,GROVE ST,TICHENOR TERRACE,IRVINGTON TWP - GROVE ST at TICHENOR TERRACE,17834
1,1,Outbound,IRVINGTON TWP,GROVE ST,BRECKENRIDGE TERRACE,IRVINGTON TWP - GROVE ST at BRECKENRIDGE TERRACE,17835
1,1,Inbound,IRVINGTON TWP,16TH AVE,22ND ST,IRVINGTON TWP - 16TH AVE at 22ND ST,17923
1,1,Outbound,IRVINGTON TWP,16TH AVE,22ND ST,IRVINGTON TWP - 16TH AVE at 22ND ST,17924
1,1,Inbound,IRVINGTON TWP,18TH AVE,VERMONT AVE,IRVINGTON TWP - 18TH AVE at VERMONT AVE,17925
1,1,Inbound,IRVINGTON TWP,18TH AVE,COLUMBIA AVE,IRVINGTON TWP - 18TH AVE at COLUMBIA AVE,17926
1,1,Inbound,IRVINGTON TWP,18TH AVE,MYRTLE AVE,IRVINGTON TWP - 18TH AVE at MYRTLE AVE,17927
1,1,Inbound,IRVINGTON TWP,18TH AVE,EASTERN PKWY,IRVINGTON TWP - 18TH AVE at EASTERN PKWY,17928
1,1,Outbound,IRVINGTON TWP,18TH AVE,EASTERN PKWY,IRVINGTON TWP - 18TH AVE at EASTERN PKWY,17933
1,1,Outbound,IRVINGTON TWP,18TH AVE,MYRTLE AVE,IRVINGTON TWP - 18TH AVE at MYRTLE AVE,17934
1,1,Outbound,IRVINGTON TWP,18TH AVE,COLUMBIA AVE,IRVINGTON TWP - 18TH AVE at COLUMBIA AVE,17935
1,1,Outbound,IRVINGTON TWP,18TH AVE,VERMONT AVE,IRVINGTON TWP - 18TH AVE at VERMONT AVE,17936
1,1,Inbound,NEWARK,CHAPEL ST,FLEMING AVE,NEWARK - CHAPEL ST at FLEMING AVE,18440
1,1,Inbound,NEWARK,CHAPEL ST,FLEMING AVE,NEWARK - CHAPEL ST at FLEMING AVE,18440
1,1,Inbound,NEWARK,CHAPEL ST,ALBERT AVE,NEWARK - CHAPEL ST at ALBERT AVE,18442
1,1,Inbound,NEWARK,CHAPEL ST,ALBERT AVE,NEWARK - CHAPEL ST at ALBERT AVE,18442
1,1,Inbound,NEWARK,FERRY ST,UNION ST,NEWARK - FERRY ST at UNION ST,18566
1,1,Inbound,NEWARK,FERRY ST,ADAMS ST,NEWARK - FERRY ST at ADAMS ST,18569
1,1,Inbound,NEWARK,FERRY ST,POLK ST,NEWARK - FERRY ST at POLK ST,18571
1,1,Inbound,NEWARK,FERRY ST,ALYEA ST,NEWARK - FERRY ST at ALYEA ST,18572
1,1,Inbound,NEWARK,FERRY ST,NIAGARA ST,NEWARK - FERRY ST at NIAGARA ST,18573
1,1,Inbound,NEWARK,FERRY ST,FILLMORE ST,NEWARK - FERRY ST at FILLMORE ST,18574
1,1,Inbound,NEWARK,FERRY ST,MAIN ST,NEWARK - FERRY ST at MAIN ST,18575
1,1,Inbound,NEWARK,FERRY ST,LEXINGTON ST,NEWARK - FERRY ST at LEXINGTON ST,18577
1,1,Inbound,NEWARK,FERRY ST,CHRISTIE ST,NEWARK - FERRY ST at CHRISTIE ST,18578
1,1,Inbound,NEWARK,FERRY ST,HAWKINS ST,NEWARK - FERRY ST at HAWKINS ST,18579
1,1,Inbound,NEWARK,FERRY ST,HAWKINS ST,NEWARK - FERRY ST at HAWKINS ST,18579
1,1,Inbound,NEWARK,FERRY ST,HAWKINS ST,NEWARK - FERRY ST at HAWKINS ST,18579
1,1,Inbound,NEWARK,FERRY ST,MANUFACTURERS PL,NEWARK - FERRY ST at MANUFACTURERS PL,18581
1,1,Inbound,NEWARK,FERRY ST,LOCKWOOD ST (150' E ),NEWARK - FERRY ST at LOCKWOOD ST (150' E ),18583
1,1,Inbound,NEWARK,FERRY ST,LOCKWOOD ST (150' E ),NEWARK - FERRY ST at LOCKWOOD ST (150' E ),18583
1,1,Inbound,NEWARK,FERRY ST,BLANCHARD ST,NEWARK - FERRY ST at BLANCHARD ST,18584
1,1,Inbound,NEWARK,FERRY ST,BLANCHARD ST,NEWARK - FERRY ST at BLANCHARD ST,18584
1,1,Inbound,NEWARK,FERRY ST,BLANCHARD ST,NEWARK - FERRY ST at BLANCHARD ST,18584
1,1,Outbound,NEWARK,FERRY ST,MAIN ST,NEWARK - FERRY ST at MAIN ST,18585
1,1,Outbound,NEWARK,FERRY ST,FILLMORE ST,NEWARK - FERRY ST at FILLMORE ST,18586
1,1,Outbound,NEWARK,FERRY ST,CHAMBERS ST,NEWARK - FERRY ST at CHAMBERS ST,18587
1,1,Outbound,NEWARK,FERRY ST,MERCHANT ST,NEWARK - FERRY ST at MERCHANT ST,18588
1,1,Outbound,NEWARK,FERRY ST,ADAMS ST,NEWARK - FERRY ST at ADAMS ST,18590
1,1,Outbound,NEWARK,FERRY ST,UNION ST,NEWARK - FERRY ST at UNION ST,18593
1,1,Outbound,NEWARK,FLEMING AVE,RICHARDS ST,NEWARK - FLEMING AVE at RICHARDS ST,18597
1,1,Outbound,NEWARK,FLEMING AVE,CHRISTIE ST,NEWARK - FLEMING AVE at CHRISTIE ST,18598
1,1,Outbound,NEWARK,FLEMING AVE,OXFORD ST,NEWARK - FLEMING AVE at OXFORD ST,18599
1,1,Inbound,NEWARK,MARKET ST,WASHINGTON ST,NEWARK - MARKET ST at WASHINGTON ST,18729
1,1,Inbound,NEWARK,MARKET ST,MULBERRY ST,NEWARK - MARKET ST at MULBERRY ST,18731
1,1,Outbound,NEWARK,MARKET ST,MULBERRY ST,NEWARK - MARKET ST at MULBERRY ST,18742
1,1,Outbound,NEWARK,MARKET ST,WASHINGTON ST,NEWARK - MARKET ST at WASHINGTON ST,18745
1,1,Outbound,NEWARK,MOTT ST,MARKET ST,NEWARK - MOTT ST at MARKET ST,18752
1,1,Inbound,NEWARK,MT. VERNON PL,NORMAN RD,NEWARK - MT. VERNON PL at NORMAN RD,18777
1,1,Inbound,NEWARK,MT. VERNON PL,KERRIGAN BLVD,NEWARK - MT. VERNON PL at KERRIGAN BLVD,18778
1,1,Inbound,NEWARK,MT. VERNON PL,SANDFORD AVE,NEWARK - MT. VERNON PL at SANDFORD AVE,18779
1,1,Outbound,NEWARK,MT. VERNON PL,KERRIGAN BLVD,NEWARK - MT. VERNON PL at KERRIGAN BLVD,18780
1,1,Outbound,NEWARK,MT. VERNON PL,NORMAN RD,NEWARK - MT. VERNON PL at NORMAN RD,18781
1,1,Outbound,NEWARK,MT. VERNON PL,MIDLAND PL,NEWARK - MT. VERNON PL at MIDLAND PL,18782
1,1,Outbound,NEWARK,MT. VERNON PL,MANOR DR,NEWARK - MT. VERNON PL at MANOR DR,18783
1,1,Outbound,NEWARK,RAYMOND BLVD,BLANCHARD ST. (244' W ),NEWARK - RAYMOND BLVD at BLANCHARD ST. (244' W ),18848
1,1,Outbound,NEWARK,RAYMOND BLVD,BLANCHARD ST. (244' W ),NEWARK - RAYMOND BLVD at BLANCHARD ST. (244' W ),18848
1,1,Outbound,NEWARK,RAYMOND BLVD,BLANCHARD ST. (244' W ),NEWARK - RAYMOND BLVD at BLANCHARD ST. (244' W ),18848
1,1,Outbound,NEWARK,RAYMOND BLVD,BLANCHARD ST. (244' W ),NEWARK - RAYMOND BLVD at BLANCHARD ST. (244' W ),18848
1,1,Outbound,NEWARK,RAYMOND BLVD,WAYDELL ST,NEWARK - RAYMOND BLVD at WAYDELL ST,18849
1,1,Outbound,NEWARK,RAYMOND BLVD,LOCKWOOD ST,NEWARK - RAYMOND BLVD at LOCKWOOD ST,18850
1,1,Inbound,NEWARK,SANFORD AVE,IVY ST,NEWARK - SANFORD AVE at IVY ST,18881
1,1,Outbound,NEWARK,SANFORD AVE,VARSITY RD,NEWARK - SANFORD AVE at VARSITY RD,18883
1,1,Outbound,NEWARK,SANFORD AVE,IVY ST,NEWARK - SANFORD AVE at IVY ST,18884
1,1,Outbound,NEWARK,SANFORD AVE,MT VERNON PL,NEWARK - SANFORD AVE at MT VERNON PL,18885
1,1,Inbound,NEWARK,SPRINGFIELD AVE,PRINCE ST,NEWARK - SPRINGFIELD AVE at PRINCE ST,18998
1,1,Inbound,NEWARK,SPRINGFIELD AVE,BROOME ST,NEWARK - SPRINGFIELD AVE at BROOME ST,18999
1,1,Inbound,NEWARK,SPRINGFIELD AVE,BRANFORD PL,NEWARK - SPRINGFIELD AVE at BRANFORD PL,19002
1,1,Outbound,NEWARK,SPRINGFIELD AVE,BROOME ST,NEWARK - SPRINGFIELD AVE at BROOME ST,19005
1,1,Outbound,NEWARK,SPRINGFIELD AVE,PRINCE ST,NEWARK - SPRINGFIELD AVE at PRINCE ST,19006
1,1,Outbound,NEWARK,SPRINGFIELD AVE,JONES ST,NEWARK - SPRINGFIELD AVE at JONES ST,19007
1,1,Inbound,NEWARK,15TH AVE,MORRIS AVE,NEWARK - 15TH AVE at MORRIS AVE,19157
1,1,Inbound,NEWARK,15TH AVE,BEDFORD ST,NEWARK - 15TH AVE at BEDFORD ST,19158
1,1,Outbound,NEWARK,15TH AVE,BEDFORD ST,NEWARK - 15TH AVE at BEDFORD ST,19159
1,1,Outbound,NEWARK,15TH AVE,MORRIS AVE,NEWARK - 15TH AVE at MORRIS AVE,19160
1,1,Inbound,NEWARK,16TH AVE,SOUTH 20TH ST,NEWARK - 16TH AVE at SOUTH 20TH ST,19162
1,1,Inbound,NEWARK,16TH AVE,SOUTH 16TH ST,NEWARK - 16TH AVE at SOUTH 16TH ST,19164
1,1,Inbound,NEWARK,16TH AVE,SOUTH 13TH ST,NEWARK - 16TH AVE at SOUTH 13TH ST,19165
1,1,Inbound,NEWARK,16TH AVE,SOUTH 10TH ST,NEWARK - 16TH AVE at SOUTH 10TH ST,19166
1,1,Inbound,NEWARK,16TH AVE,SOUTH 7TH ST,NEWARK - 16TH AVE at SOUTH 7TH ST,19167
1,1,Inbound,NEWARK,16TH AVE,BERGEN ST,NEWARK - 16TH AVE at BERGEN ST,19168
1,1,Outbound,NEWARK,16TH AVE,CAMDEN ST,NEWARK - 16TH AVE at CAMDEN ST,19169
1,1,Outbound,NEWARK,16TH AVE,6TH ST,NEWARK - 16TH AVE at 6TH ST,19170
1,1,Outbound,NEWARK,16TH AVE,SOUTH 7TH ST,NEWARK - 16TH AVE at SOUTH 7TH ST,19171
1,1,Outbound,NEWARK,16TH AVE,SOUTH 10TH ST,NEWARK - 16TH AVE at SOUTH 10TH ST,19172
1,1,Outbound,NEWARK,16TH AVE,SOUTH 13TH ST,NEWARK - 16TH AVE at SOUTH 13TH ST,19173
1,1,Outbound,NEWARK,16TH AVE,SOUTH 16TH ST,NEWARK - 16TH AVE at SOUTH 16TH ST,19174
1,1,Inbound,NEWARK,18TH AVE,MEAD ST,NEWARK - 18TH AVE at MEAD ST,19178
1,1,Inbound,NEWARK,18TH AVE,STUYVESANT AVE,NEWARK - 18TH AVE at STUYVESANT AVE,19179
1,1,Inbound,NEWARK,18TH AVE,SUNSET AVE,NEWARK - 18TH AVE at SUNSET AVE,19180
1,1,Inbound,NEWARK,18TH AVE,WEST END AVE,NEWARK - 18TH AVE at WEST END AVE,19181
1,1,Outbound,NEWARK,18TH AVE,ALEXANDER ST,NEWARK - 18TH AVE at ALEXANDER ST,19202
1,1,Outbound,NEWARK,18TH AVE,NORWOOD ST,NEWARK - 18TH AVE at NORWOOD ST,19203
1,1,Outbound,NEWARK,18TH AVE,SMITH ST,NEWARK - 18TH AVE at SMITH ST,19204
1,1,Inbound,JERSEY CITY,CHRISTOPHER COLUMBUS DR,HUDSON ST,JERSEY CITY - CHRISTOPHER COLUMBUS DR at HUDSON ST,20645
1,1,Inbound,JERSEY CITY,COMMUNIPAW AVE,MARCY AVE,JERSEY CITY - COMMUNIPAW AVE at MARCY AVE,20648
1,1,Inbound,JERSEY CITY,COMMUNIPAW AVE,WEST SIDE AVE,JERSEY CITY - COMMUNIPAW AVE at WEST SIDE AVE,20650
1,1,Inbound,JERSEY CITY,COMMUNIPAW AVE,J.F. KENNEDY BLVD,JERSEY CITY - COMMUNIPAW AVE at J.F. KENNEDY BLVD,20651
1,1,Inbound,JERSEY CITY,COMMUNIPAW AVE,BERGEN AVE,JERSEY CITY - COMMUNIPAW AVE at BERGEN AVE,20652
1,1,Inbound,JERSEY CITY,COMMUNIPAW AVE,MARTIN LUTHER KING DR,JERSEY CITY - COMMUNIPAW AVE at MARTIN LUTHER KING DR,20653
1,1,Inbound,JERSEY CITY,COMMUNIPAW AVE,CRESCENT AVE,JERSEY CITY - COMMUNIPAW AVE at CRESCENT AVE,20654
1,1,Inbound,JERSEY CITY,COMMUNIPAW AVE,VAN HORNE ST,JERSEY CITY - COMMUNIPAW AVE at VAN HORNE ST,20655
1,1,Outbound,JERSEY CITY,COMMUNIPAW AVE,GARFIELD AVE,JERSEY CITY - COMMUNIPAW AVE at GARFIELD AVE,20656
1,1,Outbound,JERSEY CITY,COMMUNIPAW AVE,CRESCENT AVE,JERSEY CITY - COMMUNIPAW AVE at CRESCENT AVE,20658
1,1,Outbound,JERSEY CITY,COMMUNIPAW AVE,MONTICELLO AVE,JERSEY CITY - COMMUNIPAW AVE at MONTICELLO AVE,20659
1,1,Outbound,JERSEY CITY,COMMUNIPAW AVE,BERGEN AVE,JERSEY CITY - COMMUNIPAW AVE at BERGEN AVE,20660
1,1,Outbound,JERSEY CITY,COMMUNIPAW AVE,J.F. KENNEDY BLVD,JERSEY CITY - COMMUNIPAW AVE at J.F. KENNEDY BLVD,20661
1,1,Outbound,JERSEY CITY,COMMUNIPAW AVE,WEST SIDE AVE,JERSEY CITY - COMMUNIPAW AVE at WEST SIDE AVE,20662
1,1,Outbound,JERSEY CITY,COMMUNIPAW AVE,WEST SIDE AVE,JERSEY CITY - COMMUNIPAW AVE at WEST SIDE AVE,20662
1,1,Outbound,JERSEY CITY,COMMUNIPAW AVE,MARCY AVE,JERSEY CITY - COMMUNIPAW AVE at MARCY AVE,20664
1,1,Inbound,JERSEY CITY,GRAND ST,MONMOUTH ST,JERSEY CITY - GRAND ST at MONMOUTH ST,20754
1,1,Inbound,JERSEY CITY,GRAND ST,JERSEY AVE (274' W ),JERSEY CITY - GRAND ST at JERSEY AVE (274' W ),20755
1,1,Inbound,JERSEY CITY,GRAND ST,GROVE ST,JERSEY CITY - GRAND ST at GROVE ST,20757
1,1,Inbound,JERSEY CITY,GRAND ST,LUIS MUNOZ MARIN BLVD,JERSEY CITY - GRAND ST at LUIS MUNOZ MARIN BLVD,20759
1,1,Inbound,JERSEY CITY,GRAND ST,WARREN ST,JERSEY CITY - GRAND ST at WARREN ST,20760
1,1,Inbound,JERSEY CITY,GRAND ST,WASHINGTON ST,JERSEY CITY - GRAND ST at WASHINGTON ST,20761
1,1,Outbound,JERSEY CITY,GRAND ST,WARREN ST,JERSEY CITY - GRAND ST at WARREN ST,20762
1,1,Outbound,JERSEY CITY,GRAND ST,LUIS MUNOZ MARIN BLVD,JERSEY CITY - GRAND ST at LUIS MUNOZ MARIN BLVD,20764
1,1,Outbound,JERSEY CITY,GRAND ST,BRIGHT ST,JERSEY CITY - GRAND ST at BRIGHT ST,20765
1,1,Outbound,JERSEY CITY,GRAND ST,JERSEY AVE,JERSEY CITY - GRAND ST at JERSEY AVE,20766
1,1,Outbound,JERSEY CITY,GRAND ST,MONMOUTH ST,JERSEY CITY - GRAND ST at MONMOUTH ST,20767
1,1,Outbound,JERSEY CITY,PACIFIC AVE,COMMUNIPAW AVE,JERSEY CITY - PACIFIC AVE at COMMUNIPAW AVE,21050
1,1,Inbound,JERSEY CITY,SIP AVE,CORBIN AVE,JERSEY CITY - SIP AVE at CORBIN AVE,21090
1,1,Inbound,JERSEY CITY,SIP AVE,ROMAINE AVE,JERSEY CITY - SIP AVE at ROMAINE AVE,21091
1,1,Inbound,JERSEY CITY,SIP AVE,TONNELLE AVE,JERSEY CITY - SIP AVE at TONNELLE AVE,21092
1,1,Outbound,JERSEY CITY,SIP AVE,GARRISON AVE,JERSEY CITY - SIP AVE at GARRISON AVE,21094
1,1,Outbound,JERSEY CITY,SIP AVE,VAN WAGENEN AVE,JERSEY CITY - SIP AVE at VAN WAGENEN AVE,21095
1,1,Outbound,JERSEY CITY,SIP AVE,CORBIN AVE,JERSEY CITY - SIP AVE at CORBIN AVE,21096
1,1,Inbound,JERSEY CITY,WEST SIDE AVE,COMMUNIPAW AVE,JERSEY CITY - WEST SIDE AVE at COMMUNIPAW AVE,21153
1,1,Inbound,JERSEY CITY,WEST SIDE AVE,HARRISON AVE,JERSEY CITY - WEST SIDE AVE at HARRISON AVE,21154
1,1,Inbound,JERSEY CITY,WEST SIDE AVE,GIFFORD AVE,JERSEY CITY - WEST SIDE AVE at GIFFORD AVE,21155
1,1,Inbound,JERSEY CITY,WEST SIDE AVE,KENSINGTON AVE,JERSEY CITY - WEST SIDE AVE at KENSINGTON AVE,21156
1,1,Inbound,JERSEY CITY,WEST SIDE AVE,FAIRVIEW AVE,JERSEY CITY - WEST SIDE AVE at FAIRVIEW AVE,21157
1,1,Inbound,JERSEY CITY,WEST SIDE AVE,FAIRMOUNT AVE,JERSEY CITY - WEST SIDE AVE at FAIRMOUNT AVE,21158
1,1,Inbound,JERSEY CITY,WEST SIDE AVE,GLENWOOD AVE,JERSEY CITY - WEST SIDE AVE at GLENWOOD AVE,21159
1,1,Inbound,JERSEY CITY,WEST SIDE AVE,STUYVESANT AVE,JERSEY CITY - WEST SIDE AVE at STUYVESANT AVE,21160
1,1,Outbound,JERSEY CITY,WEST SIDE AVE,HIGHLAND AVE,JERSEY CITY - WEST SIDE AVE at HIGHLAND AVE,21163
1,1,Outbound,JERSEY CITY,WEST SIDE AVE,FAIRMOUNT AVE,JERSEY CITY - WEST SIDE AVE at FAIRMOUNT AVE,21164
1,1,Outbound,JERSEY CITY,WEST SIDE AVE,GAUTIER AVE,JERSEY CITY - WEST SIDE AVE at GAUTIER AVE,21165
1,1,Outbound,JERSEY CITY,WEST SIDE AVE,KENSINGTON AVE,JERSEY CITY - WEST SIDE AVE at KENSINGTON AVE,21166
1,1,Outbound,JERSEY CITY,WEST SIDE AVE,GIFFORD AVE,JERSEY CITY - WEST SIDE AVE at GIFFORD AVE,21167
1,1,Outbound,JERSEY CITY,WEST SIDE AVE,HARRISON AVE,JERSEY CITY - WEST SIDE AVE at HARRISON AVE,21168
1,1,Inbound,KEARNY,CENTRAL AVE,HACKENSACK AVE. (574' N ),KEARNY - CENTRAL AVE at HACKENSACK AVE. (574' N ),21238
1,1,Outbound,KEARNY,CENTRAL AVE,HACKENSACK AVE. (574' N ),KEARNY - CENTRAL AVE at HACKENSACK AVE. (574' N ),21238
1,1,Inbound,KEARNY,LINCOLN HWY,HACKENSACK AVE,KEARNY - LINCOLN HWY at HACKENSACK AVE,21250
1,1,Inbound,KEARNY,LINCOLN HWY,HACKENSACK AVE,KEARNY - LINCOLN HWY at HACKENSACK AVE,21250
1,1,Inbound,KEARNY,LINCOLN HWY,HACKENSACK AVE,KEARNY - LINCOLN HWY at HACKENSACK AVE,21250
1,1,Outbound,KEARNY,LINCOLN HWY,HACKENSACK AVE,KEARNY - LINCOLN HWY at HACKENSACK AVE,21251
1,1,Outbound,KEARNY,LINCOLN HWY,HACKENSACK AVE,KEARNY - LINCOLN HWY at HACKENSACK AVE,21251
1,1,Inbound,NEWARK,SPRINGFIELD AVE,LIVINGSTON ST,NEWARK - SPRINGFIELD AVE at LIVINGSTON ST,30108
1,1,Inbound,NEWARK,16TH AVE,LITTLETON AVE,NEWARK - 16TH AVE at LITTLETON AVE,30144
1,1,Inbound,KEARNY,CENTRAL AVE,SOUTH HACKENSACK AVENUE,KEARNY - CENTRAL AVE at SOUTH HACKENSACK AVENUE,30220
1,1,Outbound,KEARNY,CENTRAL AVE,SOUTH HACKENSACK AVENUE,KEARNY - CENTRAL AVE at SOUTH HACKENSACK AVENUE,30220
1,1,Inbound,KEARNY,CENTRAL AVE,SOUTH HACKENSACK,KEARNY - CENTRAL AVE at SOUTH HACKENSACK,30221
1,1,Outbound,KEARNY,CENTRAL AVE,SOUTH HACKENSACK,KEARNY - CENTRAL AVE at SOUTH HACKENSACK,30221
1,1,Outbound,JERSEY CITY,COMMUNIPAW AVE,WOODWARD ST,JERSEY CITY - COMMUNIPAW AVE at WOODWARD ST,30526
1,1,Outbound,JERSEY CITY,PACIFIC AVE,JOHNSTON AVE,JERSEY CITY - PACIFIC AVE at JOHNSTON AVE,30531
1,1,Outbound,NEWARK,FERRY ST,JEFFERSON ST,NEWARK - FERRY ST at JEFFERSON ST,30553
1,1,Inbound,NEWARK,FERRY ST,JEFFERSON ST,NEWARK - FERRY ST at JEFFERSON ST,30554
1,1,Inbound,NEWARK,FERRY ST,COURTLAND PL,NEWARK - FERRY ST at COURTLAND PL,30853
1,1,Inbound,JERSEY CITY,PACIFIC AVE,BARBARA PL,JERSEY CITY - PACIFIC AVE at BARBARA PL,30886
1,1,Outbound,JERSEY CITY,PACIFIC AVE,BARBARA PL,JERSEY CITY - PACIFIC AVE at BARBARA PL,30887
1,1,Inbound,JERSEY CITY,PACIFIC AVE,ASH ST,JERSEY CITY - PACIFIC AVE at ASH ST,30888
1,1,Outbound,JERSEY CITY,PACIFIC AVE,ASH ST,JERSEY CITY - PACIFIC AVE at ASH ST,30889
1,1,Inbound,JERSEY CITY,PACIFIC AVE,COMMUNIPAW AVE,JERSEY CITY - PACIFIC AVE at COMMUNIPAW AVE,30890
1,1,Outbound,NEWARK,FERRY ST,POLK ST,NEWARK - FERRY ST at POLK ST,31062
1,1,Inbound,NEWARK,LISTER AVE,ESTHER ST,NEWARK - LISTER AVE at ESTHER ST,31332
1,1,Inbound,NEWARK,LISTER AVE,ESTHER ST,NEWARK - LISTER AVE at ESTHER ST,31332
1,1,Outbound,NEWARK,LISTER AVE,ESTHER ST,NEWARK - LISTER AVE at ESTHER ST,31333
1,1,Inbound,NEWARK,ESTHER ST,ALBERT AVE,NEWARK - ESTHER ST at ALBERT AVE,31334
1,1,Inbound,NEWARK,ESTHER ST,ALBERT AVE,NEWARK - ESTHER ST at ALBERT AVE,31334
1,1,Inbound,NEWARK,LISTER AVE,CORNELIA ST (550' W ),NEWARK - LISTER AVE at CORNELIA ST (550' W ),31504
1,1,Outbound,NEWARK,LISTER AVE,CORNELIA ST (550' W ),NEWARK - LISTER AVE at CORNELIA ST (550' W ),31505
1,1,Outbound,KEARNY,CENTRAL AVE,FORD LANE (175' S ),KEARNY - CENTRAL AVE at FORD LANE (175' S ),31584
1,1,Inbound,NEWARK,SANFORD AVE,LENOX ST,NEWARK - SANFORD AVE at LENOX ST,31633
1,1,Inbound,NEWARK,15TH AVE,BRUCE ST,NEWARK - 15TH AVE at BRUCE ST,33064
1,1,Outbound,NEWARK,15TH AVE,BRUCE ST,NEWARK - 15TH AVE at BRUCE ST,33065
1,1,Outbound,JERSEY CITY,COMMUNIPAW AVE,RT-440,JERSEY CITY - COMMUNIPAW AVE at RT-440,21226
1,1,Outbound,JERSEY CITY,COMMUNIPAW AVE,RT-440,JERSEY CITY - COMMUNIPAW AVE at RT-440,21226
1,1,Inbound,JERSEY CITY,COMMUNIPAW AVE,MALLORY AVE,JERSEY CITY - COMMUNIPAW AVE at MALLORY AVE,20649
1,1,Inbound,JERSEY CITY,COMMUNIPAW AVE,MALLORY AVE,JERSEY CITY - COMMUNIPAW AVE at MALLORY AVE,20649
1,1,Outbound,JERSEY CITY,COMMUNIPAW AVE,GRAND ST,JERSEY CITY - COMMUNIPAW AVE at GRAND ST,20657
1,1,Outbound,JERSEY CITY,COMMUNIPAW AVE,MALLORY AVE,JERSEY CITY - COMMUNIPAW AVE at MALLORY AVE,20663
1,1,Inbound,JERSEY CITY,JOURNAL SQUARE,TRANS. CTR. PLATFORM C (B AFTER 11 PM),JERSEY CITY - JOURNAL SQUARE at TRANS. CTR. PLATFORM C (B AFTER 11 PM),20883
1,1,Outbound,JERSEY CITY,JOURNAL SQUARE,TRANS. CTR. PLATFORM C (B AFTER 11 PM),JERSEY CITY - JOURNAL SQUARE at TRANS. CTR. PLATFORM C (B AFTER 11 PM),20883
1,1,Inbound,JERSEY CITY,MONTGOMERY ST,HUDSON ST,JERSEY CITY - MONTGOMERY ST at HUDSON ST,20913
1,1,Outbound,JERSEY CITY,MONTGOMERY ST,HUDSON ST,JERSEY CITY - MONTGOMERY ST at HUDSON ST,20913
1,1,Inbound,JERSEY CITY,COMMUNIPAW AVE,RANDOLPH AVE,JERSEY CITY - COMMUNIPAW AVE at RANDOLPH AVE,30492
1,1,Inbound,KEARNY,RIVER TERMINAL DRIVEWAY,CENTRAL AVENUE (294' W ),KEARNY - RIVER TERMINAL DRIVEWAY at CENTRAL AVENUE (294' W ),21239
1,1,Outbound,KEARNY,RIVER TERMINAL DRIVEWAY,CENTRAL AVENUE (294' W ),KEARNY - RIVER TERMINAL DRIVEWAY at CENTRAL AVENUE (294' W ),21239
1,1,Inbound,KEARNY,JOHN F. CALI WAY,HUDSON CTY CORRECTIONAL CENTER,KEARNY - JOHN F. CALI WAY at HUDSON CTY CORRECTIONAL CENTER,21240
1,1,Outbound,KEARNY,JOHN F. CALI WAY,HUDSON CTY CORRECTIONAL CENTER,KEARNY - JOHN F. CALI WAY at HUDSON CTY CORRECTIONAL CENTER,21240
1,1,Inbound,NEWARK,CHAPEL ST,RIVERVIEW CT,NEWARK - CHAPEL ST at RIVERVIEW CT,18441
1,1,Inbound,NEWARK,CHAPEL ST,RIVERVIEW CT,NEWARK - CHAPEL ST at RIVERVIEW CT,18441
1,1,Outbound,NEWARK,CHAPEL ST,RIVERVIEW CT,NEWARK - CHAPEL ST at RIVERVIEW CT,18443
1,1,Outbound,NEWARK,CHAPEL ST,RIVERVIEW CT,NEWARK - CHAPEL ST at RIVERVIEW CT,18443
1,1,Outbound,NEWARK,CHAPEL ST,FLEMING AVE,NEWARK - CHAPEL ST at FLEMING AVE,18444
1,1,Outbound,NEWARK,CHAPEL ST,FLEMING AVE,NEWARK - CHAPEL ST at FLEMING AVE,18444
1,1,Outbound,NEWARK,CHAPEL ST,FLEMING AVE,NEWARK - CHAPEL ST at FLEMING AVE,18444
1,1,Inbound,NEWARK,EUCLID AVE,LOCKWOOD ST,NEWARK - EUCLID AVE at LOCKWOOD ST,18554
1,1,Inbound,NEWARK,EUCLID AVE,LOCKWOOD ST,NEWARK - EUCLID AVE at LOCKWOOD ST,18554
1,1,Outbound,NEWARK,EUCLID AVE,LOCKWOOD ST,NEWARK - EUCLID AVE at LOCKWOOD ST,18554
1,1,Inbound,NEWARK,FERRY ST,WAYDELL ST,NEWARK - FERRY ST at WAYDELL ST,18582
1,1,Inbound,NEWARK,FERRY ST,WAYDELL ST,NEWARK - FERRY ST at WAYDELL ST,18582
1,1,Inbound,NEWARK,IVY HILL LOOP,MT. VERNON PL,NEWARK - IVY HILL LOOP at MT. VERNON PL,18686
1,1,Outbound,NEWARK,IVY HILL LOOP,MT. VERNON PL,NEWARK - IVY HILL LOOP at MT. VERNON PL,18686
1,1,Inbound,NEWARK,MARKET ST,BROAD ST,NEWARK - MARKET ST at BROAD ST,18730
1,1,Inbound,NEWARK,MARKET ST,ALLING ST (240' E ),NEWARK - MARKET ST at ALLING ST (240' E ),18733
