Line,Route,Direction,Municipality,On Street,At Street,Time Point - Description,Stop ID/Stop Num
770,770,Inbound,MAYWOOD,PASSAIC ST,OAK AVE,MAYWOOD - PASSAIC ST at OAK AVE,12628
770,770,Inbound,MAYWOOD,PASSAIC ST,GOLF AVE (150' E ),MAYWOOD - PASSAIC ST at GOLF AVE (150' E ),12630
770,770,Outbound,MAYWOOD,PASSAIC ST,THE ESPLANADE,MAYWOOD - PASSAIC ST at THE ESPLANADE,12631
770,770,Outbound,MAYWOOD,PASSAIC ST,ELM ST,MAYWOOD - PASSAIC ST at ELM ST,12632
770,770,Outbound,MAYWOOD,PASSAIC ST,OAK AVE,MAYWOOD - PASSAIC ST at OAK AVE,12633
770,770,Outbound,MAYWOOD,PASSAIC ST,PALMER AVE,MAYWOOD - PASSAIC ST at PALMER AVE,12634
770,770,Outbound,MAYWOOD,PASSAIC ST,SPENCER JOSEPH WAY,MAYWOOD - PASSAIC ST at SPENCER JOSEPH WAY,12635
770,770,Outbound,MAYWOOD,PASSAIC ST,SPRING VALLEY RD,MAYWOOD - PASSAIC ST at SPRING VALLEY RD,12636
770,770,Inbound,PARAMUS,PARAMUS RD,MACK DR. (183' N ),PARAMUS - PARAMUS RD at MACK DR. (183' N ),12981
770,770,Inbound,ROCHELLE PARK TWP,PASSAIC ST,PLAZA WAY (175' E ),ROCHELLE PARK TWP - PASSAIC ST at PLAZA WAY (175' E ),13452
770,770,Inbound,ROCHELLE PARK TWP,PASSAIC ST,HARVEY AVE (141' E ),ROCHELLE PARK TWP - PASSAIC ST at HARVEY AVE (141' E ),13453
770,770,Inbound,ROCHELLE PARK TWP,PASSAIC ST,ROOSEVELT AVE (340' E ),ROCHELLE PARK TWP - PASSAIC ST at ROOSEVELT AVE (340' E ),13454
770,770,Inbound,ROCHELLE PARK TWP,PASSAIC ST,BERDAN ST,ROCHELLE PARK TWP - PASSAIC ST at BERDAN ST,13455
770,770,Outbound,ROCHELLE PARK TWP,PASSAIC ST,WARD ST,ROCHELLE PARK TWP - PASSAIC ST at WARD ST,13457
770,770,Outbound,ROCHELLE PARK TWP,PASSAIC ST,BERDAN ST,ROCHELLE PARK TWP - PASSAIC ST at BERDAN ST,13459
770,770,Outbound,ROCHELLE PARK TWP,PASSAIC ST,ROOSEVELT AVE,ROCHELLE PARK TWP - PASSAIC ST at ROOSEVELT AVE,13460
770,770,Outbound,ROCHELLE PARK TWP,PASSAIC ST,HARVEY AVE,ROCHELLE PARK TWP - PASSAIC ST at HARVEY AVE,13461
770,770,Outbound,ROCHELLE PARK TWP,PASSAIC ST,BENNETT AVE (920' W ),ROCHELLE PARK TWP - PASSAIC ST at BENNETT AVE (920' W ),13462
770,770,Inbound,PATERSON,11TH AVE,EAST 35TH ST,PATERSON - 11TH AVE at EAST 35TH ST,27216
770,770,Inbound,PATERSON,11TH AVE,EAST 37TH ST,PATERSON - 11TH AVE at EAST 37TH ST,27217
770,770,Inbound,PATERSON,11TH AVE,EAST 39TH ST,PATERSON - 11TH AVE at EAST 39TH ST,27218
770,770,Outbound,PATERSON,11TH AVE,EAST 39TH ST,PATERSON - 11TH AVE at EAST 39TH ST,27221
770,770,Outbound,PATERSON,11TH AVE,EAST 37TH ST,PATERSON - 11TH AVE at EAST 37TH ST,27222
770,770,Outbound,PATERSON,11TH AVE,EAST 35TH ST,PATERSON - 11TH AVE at EAST 35TH ST,27223
770,770,Outbound,PATERSON,11TH AVE,EAST 33RD ST,PATERSON - 11TH AVE at EAST 33RD ST,27224
770,770,Inbound,PATERSON,BROADWAY,WASHINGTON ST,PATERSON - BROADWAY at WASHINGTON ST,27248
